C:\Program Files\MariaDB 12.3\bin\mariadbd.exe, Version: 12.3.2-MariaDB (MariaDB Server). started with:
TCP Port: 3306, Named Pipe: MySQL
Time		    Id Command	Argument
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_users' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_user_server_database_connections' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_users' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_users` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_users' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_server_database_connections' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_server_database_connections` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_server_database_connections' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_user_server_database_connections' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_user_server_database_connections` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_user_server_database_connections' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_server_database_connections' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_user_server_database_connections' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_user_server_database_connections` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_user_server_database_connections' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_users' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_users` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_users' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_server_database_connections' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_server_database_connections` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_server_database_connections' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_analytic_events' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_analytic_events' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_analytic_events` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_analytic_events' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.statistics WHERE table_schema = ? AND table_name = ? AND index_name = ?
		  6905 Execute	SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'peq' AND table_name = 'spire_analytic_events' AND index_name = 'event_name_ip_address'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.statistics WHERE table_schema = ? AND table_name = ? AND index_name = ?
		  6905 Execute	SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'peq' AND table_name = 'spire_analytic_events' AND index_name = 'event_name'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_analytic_event_counts' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_analytic_event_counts' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `spire_analytic_event_counts` LIMIT 1
		  6905 Prepare	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = ? AND table_name = ? ORDER BY ORDINAL_POSITION
		  6905 Execute	SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'peq' AND table_name = 'spire_analytic_event_counts' ORDER BY ORDINAL_POSITION
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.statistics WHERE table_schema = ? AND table_name = ? AND index_name = ?
		  6905 Execute	SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'peq' AND table_name = 'spire_analytic_event_counts' AND index_name = 'event_name'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.statistics WHERE table_schema = ? AND table_name = ? AND index_name = ?
		  6905 Execute	SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'peq' AND table_name = 'spire_analytic_event_counts' AND index_name = 'event_name_key'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
		  6905 Prepare	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE ? ORDER BY SCHEMA_NAME=? DESC,SCHEMA_NAME limit 1
		  6905 Execute	SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'peq%' ORDER BY SCHEMA_NAME='peq' DESC,SCHEMA_NAME limit 1
		  6905 Close stmt	
		  6905 Prepare	SELECT count(*) FROM information_schema.tables WHERE table_schema = ? AND table_name = ? AND table_type = ?
		  6905 Execute	SELECT count(*) FROM information_schema.tables WHERE table_schema = 'peq' AND table_name = 'spire_user_event_log' AND table_type = 'BASE TABLE'
		  6905 Close stmt	
		  6905 Query	SELECT DATABASE()
